beta,0,0.25π,0.5π,0.75π,π
0.010000,-1.336667,-1.873333,-1.986667,1.873333,1.336667
0.010985,-1.315000,-1.836667,-1.948333,1.836667,1.315000
0.012068,-1.293333,-1.800000,-1.910000,1.800000,1.293333
0.013257,-1.271667,-1.763333,-1.871667,1.763333,1.271667
0.014563,-1.250000,-1.728333,-1.831667,1.728333,1.250000
0.015999,-1.228333,-1.691667,-1.793333,1.691667,1.228333
0.017575,-1.206667,-1.656667,-1.755000,1.656667,1.206667
0.019307,-1.185000,-1.620000,-1.716667,1.620000,1.185000
0.021210,-1.161667,-1.585000,-1.678333,1.585000,1.161667
0.023300,-1.140000,-1.550000,-1.640000,1.550000,1.140000
0.025595,-1.118333,-1.515000,-1.601667,1.515000,1.118333
0.028118,-1.096667,-1.480000,-1.563333,1.480000,1.096667
0.030888,-1.073333,-1.445000,-1.523333,1.445000,1.073333
0.033932,-1.051667,-1.410000,-1.485000,1.410000,1.051667
0.037276,-1.030000,-1.375000,1.446667,1.375000,1.030000
0.040949,-1.006667,-1.341667,-1.408333,1.341667,1.006667
0.044984,-0.985000,-1.306667,-1.370000,1.306667,0.985000
0.049417,-0.963333,-1.273333,-1.330000,1.273333,0.963333
0.054287,-0.940000,-1.238333,-1.291667,1.238333,0.940000
0.059636,-0.916667,-1.205000,-1.251667,1.205000,0.916667
0.065513,-0.895000,-1.171667,-1.213333,1.171667,0.895000
0.071969,-0.871667,-1.138333,-1.173333,1.138333,0.871667
0.079060,-0.850000,-1.103333,-1.133333,1.103333,0.850000
0.086851,-0.826667,-1.070000,-1.093333,1.070000,0.826667
0.095410,-0.803333,-1.036667,-1.051667,1.036667,0.803333
0.104811,-0.780000,-1.003333,-1.011667,1.003333,0.780000
0.115140,-0.756667,-0.970000,-0.970000,0.970000,0.756667
0.126486,-0.733333,-0.936667,-0.926667,0.936667,0.733333
0.138950,-0.710000,-0.903333,-0.883333,0.903333,0.710000
0.152642,-0.686667,-0.870000,-0.840000,0.870000,0.686667
0.167683,-0.663333,-0.836667,-0.795000,0.836667,0.663333
0.184207,-0.640000,-0.803333,-0.748333,0.803333,0.640000
0.202359,-0.616667,-0.770000,-0.700000,0.770000,0.616667
0.222300,-0.593333,-0.736667,-0.651667,0.736667,0.593333
0.244205,-0.570000,-0.701667,-0.598333,0.701667,0.570000
0.268270,-0.546667,-0.668333,-0.543333,0.668333,0.546667
0.294705,-0.523333,-0.635000,-0.481667,0.635000,0.523333
0.323746,-0.500000,-0.601667,-0.415000,0.601667,0.500000
0.355648,-0.476667,-0.568333,-0.338333,0.568333,0.476667
0.390694,-0.453333,-0.535000,0.241667,0.535000,0.453333
0.429193,-0.430000,-0.501667,0.058333,0.501667,0.430000
0.471487,-0.406667,-0.468333,0.000000,0.468333,0.406667
0.517947,-0.385000,-0.436667,0.000000,0.436667,0.385000
0.568987,-0.363333,-0.405000,0.000000,0.405000,0.363333
0.625055,-0.341667,-0.373333,0.000000,0.373333,0.341667
0.686649,-0.320000,-0.343333,0.000000,0.343333,0.320000
0.754312,-0.300000,-0.315000,0.000000,0.315000,0.300000
0.828643,-0.280000,-0.288333,0.000000,0.288333,0.280000
0.910298,-0.260000,-0.261667,0.000000,0.261667,0.260000
1.000000,-0.241667,-0.236667,0.000000,0.236667,0.241667
