f_hz,cos_alpha,cos2_alpha,alpha_deg,p_value,condition_number,vd_lnMc,vd_q,vd_chi_eff,vd_Lt_over_100,vd_ln_DL,rho2_dx
22,-0.0,0.0,90.0,1.0,5.80e+22,0,0,0,0.99996,0,0.0
25,0.0,0.0,90.0,0.999999,5.91e+20,0,0,0,0.999969,0,0.0
30,1e-06,0.0,90.0,0.999999,8.22e+19,0,0,0,0.999973,0,0.0
35,1e-06,0.0,90.0,0.999999,6.40e+19,0,0,0,0.999973,0,0.0
45,8e-06,0.0,90.0,0.999988,3.08e+17,0,0,0,0.999969,0,0.0
50,1.7e-05,0.0,90.0,0.999974,5.79e+16,0,0,0,0.999965,0,0.0
60,4.5e-05,0.0,90.0,0.999932,5.93e+15,0,0,0,0.999957,0,0.0
75,0.000112,0.0,89.99,0.999833,6.86e+14,0,0,0,0.999941,0,0.0
100,0.000308,0.0,89.98,0.999538,6.22e+13,0,0,0,0.999905,0,0.0
120,0.000547,0.0,89.97,0.99918,1.66e+13,0,0,0,0.999869,0,0.0
150,0.001043,1e-06,89.94,0.998435,3.90e+12,0,0,0,0.999802,0,0.0
200,0.002078,4e-06,89.88,0.996882,8.72e+11,0,0,0,0.99968,0,0.0
250,0.003461,1.2e-05,89.8,0.994809,2.96e+11,0,0,0,0.999529,0,0.0
300,0.004998,2.5e-05,89.71,0.992503,1.37e+11,0,0,0,0.99937,0,0.0
350,0.006538,4.3e-05,89.63,0.990192,7.89e+10,0,0,0,0.999219,0,0.0
400,0.00812,6.6e-05,89.53,0.98782,5.05e+10,0,0,0,0.999072,0,0.0
450,0.009782,9.6e-05,89.44,0.985328,3.46e+10,0,0,0,0.998927,0,0.0
500,0.011325,0.000128,89.35,0.983014,2.56e+10,0,0,0,0.998802,0,0.0
