f_hz,cos2_alpha,alpha_deg,p_value,condition_number,vd_lnMc,vd_q,vd_chi_eff,vd_Lt_over_100,vd_ln_DL
21.9,0.0000000000,90.000004,0.9999998927,5.8022210907e+22,0.0000020331,-0.0089229567,0.0010294772,0.9999596597,0.0000016942
25.2,0.0000000000,89.999981,0.9999994939,5.9071758949e+20,0.0000018031,-0.0078261057,0.0009041423,0.9999689668,0.0000015026
30.4,0.0000000000,89.999958,0.9999988977,8.2172678558e+19,0.0000016955,-0.0073004078,0.0008441748,0.9999729953,0.0000014129
34.9,0.0000000000,89.999959,0.9999989153,6.3988642482e+19,0.0000016934,-0.0072903576,0.0008430256,0.9999730696,0.0000014112
44.8,0.0000000001,89.999528,0.9999876350,3.0751312745e+17,0.0000017905,-0.0078257828,0.0009036552,0.9999689698,0.0000014921
50.1,0.0000000003,89.999021,0.9999743729,5.7877922175e+16,0.0000018634,-0.0082609306,0.0009527347,0.9999654241,0.0000015529
60.3,0.0000000020,89.997416,0.9999323381,5.9289956620e+15,0.0000020135,-0.0092503380,0.0010638369,0.9999566488,0.0000016779
74.7,0.0000000124,89.993610,0.9998327021,6.8627402489e+14,0.0000022117,-0.0108158398,0.0012384883,0.9999407401,0.0000018430
99.5,0.0000000950,89.982339,0.9995376240,6.2165376798e+13,0.0000024716,-0.0137134032,0.0015588686,0.9999047517,0.0000020597
119.8,0.0000002988,89.968682,0.9991801074,1.6621336346e+13,0.0000025997,-0.0161094155,0.0018216140,0.9998685756,0.0000021665
151.1,0.0000010882,89.940230,0.9984352233,3.9040852248e+12,0.0000026753,-0.0197503866,0.0022180769,0.9998024817,0.0000022294
199.6,0.0000043201,89.880912,0.9968822937,8.7230612380e+11,0.0000025864,-0.0251521437,0.0028017873,0.9996797085,0.0000021554
251.7,0.0000119781,89.801702,0.9948086031,2.9590936399e+11,0.0000023257,-0.0305170093,0.0033778403,0.9995285400,0.0000019382
303.0,0.0000249831,89.713617,0.9925026006,1.3741129848e+11,0.0000019895,-0.0352808464,0.0038872025,0.9993698772,0.0000016581
351.5,0.0000427512,89.625372,0.9901924779,7.8875964642e+10,0.0000016491,-0.0392806205,0.0043136972,0.9992189074,0.0000013745
400.2,0.0000659419,89.534727,0.9878195758,5.0547683752e+10,0.0000013129,-0.0428160840,0.0046899816,0.9990719629,0.0000010944
451.5,0.0000956857,89.439529,0.9853276090,3.4550889819e+10,0.0000009831,-0.0460388867,0.0050325264,0.9989269716,0.0000008196
500.0,0.0001282469,89.351134,0.9830138060,2.5638795232e+10,0.0000007020,-0.0486555070,0.0053103788,0.9988015026,0.0000005853
